period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units,year
2021,AL,Alabama,99,All Sectors,PEL,petroleum liquids,21.91499,thousand megawatthours,2021
2021,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",26900.90936,thousand megawatthours,2021
2021,AL,Alabama,99,All Sectors,NUC,nuclear,46036.489,thousand megawatthours,2021
2024,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",20936.16598,thousand megawatthours,2024
2022,AL,Alabama,99,All Sectors,NG,natural gas,62217.4453,thousand megawatthours,2022
2022,AL,Alabama,99,All Sectors,PEL,petroleum liquids,40.91709,thousand megawatthours,2022
2021,AL,Alabama,99,All Sectors,NG,natural gas,54447.87499,thousand megawatthours,2021
2021,AL,Alabama,99,All Sectors,SUN,solar,493.995,thousand megawatthours,2021
2016,AL,Alabama,99,All Sectors,NG,natural gas,57803.61849,thousand megawatthours,2016
2016,AL,Alabama,99,All Sectors,SUN,solar,31.261,thousand megawatthours,2016
2017,AL,Alabama,99,All Sectors,NG,natural gas,52983.66286,thousand megawatthours,2017
2017,AL,Alabama,99,All Sectors,SUN,solar,180.68824,thousand megawatthours,2017
2018,AL,Alabama,99,All Sectors,NG,natural gas,58800.41864,thousand megawatthours,2018
2018,AL,Alabama,99,All Sectors,SUN,solar,357.252,thousand megawatthours,2018
2017,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",31440.40111,thousand megawatthours,2017
2017,AL,Alabama,99,All Sectors,NUC,nuclear,42651.973,thousand megawatthours,2017
2017,AL,Alabama,99,All Sectors,PEL,petroleum liquids,35.70787,thousand megawatthours,2017
2024,AL,Alabama,99,All Sectors,SUN,solar,1256.55852,thousand megawatthours,2024
2019,AL,Alabama,99,All Sectors,SUN,solar,384.939,thousand megawatthours,2019
2020,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",21729.52443,thousand megawatthours,2020
2020,AL,Alabama,99,All Sectors,NUC,nuclear,43550.647,thousand megawatthours,2020
2020,AL,Alabama,99,All Sectors,PEL,petroleum liquids,12.84681,thousand megawatthours,2020
2023,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",19181.95839,thousand megawatthours,2023
2022,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",25943.99013,thousand megawatthours,2022
2022,AL,Alabama,99,All Sectors,NUC,nuclear,42313.657,thousand megawatthours,2022
2020,AL,Alabama,99,All Sectors,NG,natural gas,55224.99865,thousand megawatthours,2020
2024,AL,Alabama,99,All Sectors,NG,natural gas,64557.04856,thousand megawatthours,2024
2024,AL,Alabama,99,All Sectors,PEL,petroleum liquids,14.49089,thousand megawatthours,2024
2023,AL,Alabama,99,All Sectors,NG,natural gas,61848.36587,thousand megawatthours,2023
2023,AL,Alabama,99,All Sectors,PEL,petroleum liquids,24.53982,thousand megawatthours,2023
2016,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",34258.40552,thousand megawatthours,2016
2016,AL,Alabama,99,All Sectors,NUC,nuclear,39901.879,thousand megawatthours,2016
2016,AL,Alabama,99,All Sectors,PEL,petroleum liquids,45.83237,thousand megawatthours,2016
2022,AL,Alabama,99,All Sectors,SUN,solar,894.571,thousand megawatthours,2022
2018,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",31777.52001,thousand megawatthours,2018
2018,AL,Alabama,99,All Sectors,NUC,nuclear,39462.827,thousand megawatthours,2018
2018,AL,Alabama,99,All Sectors,PEL,petroleum liquids,65.70354,thousand megawatthours,2018
2023,AL,Alabama,99,All Sectors,NUC,nuclear,45579.039,thousand megawatthours,2023
2019,AL,Alabama,99,All Sectors,COL,"coal, excluding waste coal",26655.06754,thousand megawatthours,2019
2019,AL,Alabama,99,All Sectors,NUC,nuclear,43656.862,thousand megawatthours,2019
2019,AL,Alabama,99,All Sectors,PEL,petroleum liquids,19.91985,thousand megawatthours,2019
2020,AL,Alabama,99,All Sectors,SUN,solar,368.74248,thousand megawatthours,2020
2023,AL,Alabama,99,All Sectors,SUN,solar,1200.72242,thousand megawatthours,2023
2019,AL,Alabama,99,All Sectors,NG,natural gas,57197.37016,thousand megawatthours,2019
2024,AL,Alabama,99,All Sectors,NUC,nuclear,44487.194,thousand megawatthours,2024
2018,AK,Alaska,99,All Sectors,PEL,petroleum liquids,809.27847,thousand megawatthours,2018
2020,AK,Alaska,99,All Sectors,NG,natural gas,2640.75978,thousand megawatthours,2020
2022,AK,Alaska,99,All Sectors,WND,wind,139.276,thousand megawatthours,2022
2017,AK,Alaska,99,All Sectors,NG,natural gas,3234.86849,thousand megawatthours,2017
2017,AK,Alaska,99,All Sectors,PEL,petroleum liquids,880.68236,thousand megawatthours,2017
2018,AK,Alaska,99,All Sectors,NG,natural gas,2947.90206,thousand megawatthours,2018
2020,AK,Alaska,99,All Sectors,WND,wind,128.533,thousand megawatthours,2020
2018,AK,Alaska,99,All Sectors,WND,wind,155.015,thousand megawatthours,2018
2024,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",679.74092,thousand megawatthours,2024
2022,AK,Alaska,99,All Sectors,NG,natural gas,3229.37601,thousand megawatthours,2022
2019,AK,Alaska,99,All Sectors,NG,natural gas,2686.98992,thousand megawatthours,2019
2019,AK,Alaska,99,All Sectors,WND,wind,142.59093,thousand megawatthours,2019
2023,AK,Alaska,99,All Sectors,NG,natural gas,3182.4071,thousand megawatthours,2023
2023,AK,Alaska,99,All Sectors,PEL,petroleum liquids,885.27548,thousand megawatthours,2023
2024,AK,Alaska,99,All Sectors,WND,wind,123.51871,thousand megawatthours,2024
2024,AK,Alaska,99,All Sectors,SUN,solar,16.01648,thousand megawatthours,2024
2016,AK,Alaska,99,All Sectors,NG,natural gas,3040.4873,thousand megawatthours,2016
2016,AK,Alaska,99,All Sectors,WND,wind,169.301,thousand megawatthours,2016
2021,AK,Alaska,99,All Sectors,WND,wind,132.212,thousand megawatthours,2021
2016,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",525.89833,thousand megawatthours,2016
2022,AK,Alaska,99,All Sectors,PEL,petroleum liquids,847.52555,thousand megawatthours,2022
2016,AK,Alaska,99,All Sectors,PEL,petroleum liquids,831.32964,thousand megawatthours,2016
2017,AK,Alaska,99,All Sectors,WND,wind,141.687,thousand megawatthours,2017
2021,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",660.10471,thousand megawatthours,2021
2023,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",653.86468,thousand megawatthours,2023
2023,AK,Alaska,99,All Sectors,SUN,solar,0.046,thousand megawatthours,2023
2024,AK,Alaska,99,All Sectors,PEL,petroleum liquids,977.68734,thousand megawatthours,2024
2020,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",602.54854,thousand megawatthours,2020
2022,AK,Alaska,99,All Sectors,SUN,solar,0.0,thousand megawatthours,2022
2019,AK,Alaska,99,All Sectors,PEL,petroleum liquids,901.19612,thousand megawatthours,2019
2024,AK,Alaska,99,All Sectors,NG,natural gas,2853.03331,thousand megawatthours,2024
2022,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",638.72865,thousand megawatthours,2022
2017,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",488.64781,thousand megawatthours,2017
2021,AK,Alaska,99,All Sectors,PEL,petroleum liquids,902.48564,thousand megawatthours,2021
2021,AK,Alaska,99,All Sectors,SUN,solar,0.0,thousand megawatthours,2021
2019,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",580.32634,thousand megawatthours,2019
2021,AK,Alaska,99,All Sectors,NG,natural gas,3085.39602,thousand megawatthours,2021
2020,AK,Alaska,99,All Sectors,PEL,petroleum liquids,985.80196,thousand megawatthours,2020
2018,AK,Alaska,99,All Sectors,COL,"coal, excluding waste coal",540.97452,thousand megawatthours,2018
2023,AK,Alaska,99,All Sectors,WND,wind,111.36886,thousand megawatthours,2023
2017,AZ,Arizona,99,All Sectors,SUN,solar,4942.00064,thousand megawatthours,2017
2020,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",13747.25305,thousand megawatthours,2020
2020,AZ,Arizona,99,All Sectors,WND,wind,644.16,thousand megawatthours,2020
2018,AZ,Arizona,99,All Sectors,SUN,solar,5140.37651,thousand megawatthours,2018
2016,AZ,Arizona,99,All Sectors,NG,natural gas,34182.80797,thousand megawatthours,2016
2016,AZ,Arizona,99,All Sectors,WND,wind,541.582,thousand megawatthours,2016
2016,AZ,Arizona,99,All Sectors,NUC,nuclear,32377.477,thousand megawatthours,2016
2023,AZ,Arizona,99,All Sectors,SUN,solar,7438.11643,thousand megawatthours,2023
2019,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",23217.97445,thousand megawatthours,2019
2019,AZ,Arizona,99,All Sectors,WND,wind,554.374,thousand megawatthours,2019
2016,AZ,Arizona,99,All Sectors,SUN,solar,3765.82488,thousand megawatthours,2016
2022,AZ,Arizona,99,All Sectors,WND,wind,1564.348,thousand megawatthours,2022
2021,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,43.53403,thousand megawatthours,2021
2021,AZ,Arizona,99,All Sectors,SUN,solar,6710.87731,thousand megawatthours,2021
2022,AZ,Arizona,99,All Sectors,NG,natural gas,45053.24482,thousand megawatthours,2022
2022,AZ,Arizona,99,All Sectors,NUC,nuclear,31942.793,thousand megawatthours,2022
2021,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",14300.57241,thousand megawatthours,2021
2021,AZ,Arizona,99,All Sectors,WND,wind,1600.319,thousand megawatthours,2021
2020,AZ,Arizona,99,All Sectors,NG,natural gas,50777.57036,thousand megawatthours,2020
2020,AZ,Arizona,99,All Sectors,NUC,nuclear,31552.433,thousand megawatthours,2020
2020,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,40.40497,thousand megawatthours,2020
2023,AZ,Arizona,99,All Sectors,WND,wind,1733.354,thousand megawatthours,2023
2017,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,56.72919,thousand megawatthours,2017
2019,AZ,Arizona,99,All Sectors,SUN,solar,5278.01864,thousand megawatthours,2019
2022,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",13449.46816,thousand megawatthours,2022
2022,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,32.20354,thousand megawatthours,2022
2017,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",31396.13826,thousand megawatthours,2017
2017,AZ,Arizona,99,All Sectors,WND,wind,569.934,thousand megawatthours,2017
2017,AZ,Arizona,99,All Sectors,NG,natural gas,29590.69862,thousand megawatthours,2017
2017,AZ,Arizona,99,All Sectors,NUC,nuclear,32340.138,thousand megawatthours,2017
2018,AZ,Arizona,99,All Sectors,NG,natural gas,37168.07527,thousand megawatthours,2018
2018,AZ,Arizona,99,All Sectors,NUC,nuclear,31097.259,thousand megawatthours,2018
2018,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",30744.62287,thousand megawatthours,2018
2018,AZ,Arizona,99,All Sectors,WND,wind,530.19,thousand megawatthours,2018
2021,AZ,Arizona,99,All Sectors,NG,natural gas,48053.13267,thousand megawatthours,2021
2021,AZ,Arizona,99,All Sectors,NUC,nuclear,31629.862,thousand megawatthours,2021
2023,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,31.56829,thousand megawatthours,2023
2022,AZ,Arizona,99,All Sectors,SUN,solar,7069.07892,thousand megawatthours,2022
2024,AZ,Arizona,99,All Sectors,SUN,solar,10786.28608,thousand megawatthours,2024
2023,AZ,Arizona,99,All Sectors,NG,natural gas,52817.50267,thousand megawatthours,2023
2023,AZ,Arizona,99,All Sectors,NUC,nuclear,31522.59,thousand megawatthours,2023
2019,AZ,Arizona,99,All Sectors,NG,natural gas,46084.36665,thousand megawatthours,2019
2019,AZ,Arizona,99,All Sectors,NUC,nuclear,31920.368,thousand megawatthours,2019
2023,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",12068.55331,thousand megawatthours,2023
2024,AZ,Arizona,99,All Sectors,WND,wind,2540.45526,thousand megawatthours,2024
2016,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",30403.3921,thousand megawatthours,2016
2018,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,49.94592,thousand megawatthours,2018
2016,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,51.59465,thousand megawatthours,2016
2019,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,63.74791,thousand megawatthours,2019
2024,AZ,Arizona,99,All Sectors,COL,"coal, excluding waste coal",9814.66453,thousand megawatthours,2024
2024,AZ,Arizona,99,All Sectors,PEL,petroleum liquids,30.14422,thousand megawatthours,2024
2020,AZ,Arizona,99,All Sectors,SUN,solar,5837.4433,thousand megawatthours,2020
2024,AZ,Arizona,99,All Sectors,NG,natural gas,55155.32153,thousand megawatthours,2024
2024,AZ,Arizona,99,All Sectors,NUC,nuclear,32388.118,thousand megawatthours,2024
2024,AR,Arkansas,99,All Sectors,NG,natural gas,22832.47286,thousand megawatthours,2024
2024,AR,Arkansas,99,All Sectors,NUC,nuclear,14762.779,thousand megawatthours,2024
2020,AR,Arkansas,99,All Sectors,NG,natural gas,18307.32675,thousand megawatthours,2020
2020,AR,Arkansas,99,All Sectors,PEL,petroleum liquids,44.17149,thousand megawatthours,2020
2022,AR,Arkansas,99,All Sectors,COL,"coal, excluding waste coal",20360.86942,thousand megawatthours,2022
2017,AR,Arkansas,99,All Sectors,COL,"coal, excluding waste coal",26285.43475,thousand megawatthours,2017
2017,AR,Arkansas,99,All Sectors,SUN,solar,30.81152,thousand megawatthours,2017
2017,AR,Arkansas,99,All Sectors,NUC,nuclear,12691.079,thousand megawatthours,2017
2021,AR,Arkansas,99,All Sectors,NG,natural gas,20629.13354,thousand megawatthours,2021
2021,AR,Arkansas,99,All Sectors,PEL,petroleum liquids,55.53197,thousand megawatthours,2021
2016,AR,Arkansas,99,All Sectors,SUN,solar,26.142,thousand megawatthours,2016
2016,AR,Arkansas,99,All Sectors,NG,natural gas,18171.18701,thousand megawatthours,2016
2016,AR,Arkansas,99,All Sectors,PEL,petroleum liquids,42.36325,thousand megawatthours,2016
2021,AR,Arkansas,99,All Sectors,COL,"coal, excluding waste coal",21418.87684,thousand megawatthours,2021
2018,AR,Arkansas,99,All Sectors,NG,natural gas,20623.70469,thousand megawatthours,2018
2018,AR,Arkansas,99,All Sectors,PEL,petroleum liquids,35.51712,thousand megawatthours,2018
2016,AR,Arkansas,99,All Sectors,NUC,nuclear,13421.022,thousand megawatthours,2016
2022,AR,Arkansas,99,All Sectors,PEL,petroleum liquids,64.31871,thousand megawatthours,2022
2019,AR,Arkansas,99,All Sectors,NG,natural gas,21772.4002,thousand megawatthours,2019
2019,AR,Arkansas,99,All Sectors,PEL,petroleum liquids,47.14363,thousand megawatthours,2019
